Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC",148,640,589,149,88,30,5,26,87,93,34,1,154,9,4,4,,33,9,0.25366,0.0535857,0.240619,0.2227,0.302623,0.454207,0.324037,0.75683,0.200546,7.02442,0.298814,0.844059,1.96628,81.3303,5.70649,109.353,2.81034,11.8164,9.90515685081482,14.102247714996338,4.63422,32.939998626708984,,,,,,,771.8,5.214864864,771.8,5.214864864,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Ketel Marte","ARI",146,629,548,150,89,31,3,27,93,82,68,6,104,7,4,2,,6,1,0.273218,0.10885,0.16574,0.65675,0.359363,0.486036,0.361961,0.845399,0.212817,4.42785,0.292103,-0.0849262,-0.427619,99.3182,24.9809,132.556,-0.512545,-0.20505,23.762791872024536,-0.1309756636619568,4.55874,32.63999938964844,,,,,,,886.4,6.071232876,886.4,6.071232876,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Corey Seager","TEX",130,564,493,133,81,25,0,27,77,80,61,10,104,5,4,0,,2,0,0.270345,0.109018,0.185352,0.588166,0.354423,0.485847,0.356591,0.840271,0.215503,2.54951,0.291447,-0.86258,-0.590136,86.5,19.9182,131.592,-1.45272,0.561296,19.52885365486145,4.859598219394684,4.48019,95.08999633789062,,,,,,,779.9,5.999230769,779.9,5.999230769,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",151,606,526,142,93,29,1,20,81,76,72,5,114,4,4,1,,6,2,0.269959,0.118075,0.188619,0.625994,0.358807,0.439743,0.346468,0.798551,0.169784,3.39273,0.309289,-0.515082,-0.687205,88.0773,16.446,123.681,-1.20229,-0.0595336,15.813185334205627,7.44386151432991,4.47195,56.560001373291016,,,,,,,780.8,5.170860927,780.8,5.170860927,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Jackson Merrill","SDP",144,622,571,155,95,31,5,24,78,87,41,2,121,4,4,2,,7,3,0.27183,0.0664704,0.194789,0.341243,0.323203,0.4688,0.338931,0.792003,0.19697,4.72952,0.305888,0.998231,-0.732797,86.5926,13.0722,121.503,0.265434,4.68164,16.122738003730774,6.70633339881897,4.45308,70.79000091552734,,,,,,,780.9,5.422916666,780.9,5.422916666,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Patrick Bailey","SFG",131,518,469,106,73,20,2,11,51,52,40,0,135,3,4,2,,2,0,0.225553,0.07716,0.260131,0.29662,0.288541,0.346804,0.280426,0.635345,0.121251,3.63997,0.290908,-0.332902,-0.432023,47.5124,-13.7312,80.0794,-0.764925,11.8194,-13.002506911754608,21.942866325378418,4.4021,747.8900146484375,,,,,,,430.2,3.283969465,430.2,3.283969465,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Trea Turner","PHI",148,640,586,165,113,30,4,18,91,71,43,1,116,6,4,2,,27,5,0.2815,0.0671121,0.181259,0.370255,0.334306,0.44008,0.335163,0.774386,0.15858,6.49033,0.322025,1.40174,2.4045,87.1117,11.4879,113.572,3.80624,0.144816,14.101264715194702,7.002223268151283,4.33711,26.780000686645508,,,,,,,801.3,5.414189189,801.3,5.414189189,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Matt Chapman","SFG",154,664,575,139,79,32,2,26,88,79,76,1,162,8,4,1,,9,3,0.241496,0.113977,0.244599,0.465975,0.335511,0.44106,0.337385,0.77657,0.199564,4.57521,0.288504,-0.0663788,-0.425607,91.5321,13.1104,119.098,-0.491985,3.32256,14.530943840742111,5.692935228347778,4.3277,163.6199951171875,,,,,,,812.7,5.277272727,812.7,5.277272727,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Yordan Alvarez","HOU",128,553,473,138,79,28,1,30,80,87,69,12,96,7,4,0,,3,1,0.291565,0.125578,0.173478,0.723884,0.387755,0.544907,0.392081,0.932663,0.253343,3.2218,0.30814,-0.729678,-0.823447,100.838,35.4869,155.209,-1.55313,-0.0954961,34.436383843421936,-11.7498177587986,4.26939,33.38999938964844,,,,,,,899.6,7.028125,899.6,7.028125,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Bo Bichette","NYM",151,654,602,173,118,35,1,19,79,85,42,1,109,4,5,1,,6,3,0.286932,0.0649706,0.166972,0.389111,0.335514,0.44317,0.336527,0.778684,0.156238,3.4708,0.321325,0.258719,-1.07801,89.7298,12.462,119.418,-0.819291,4.0638,14.230598866939545,4.759480834007263,4.16823,92.86000061035156,,,,,,,793.6,5.255629139,793.6,5.255629139,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
